,precision,recall,f1-score,support
angry,0.643843498273878,0.8804091266719118,0.7437686939182453,1271.0
disgust,0.46153846153846156,0.8119590873328089,0.5885372112917023,1271.0
fear,0.7589743589743589,0.5822187254130606,0.6589492430988424,1271.0
happy,0.8571428571428571,0.32572777340676634,0.47206385404789053,1271.0
neutral,0.8841698841698842,0.42134314627414904,0.5707165109034268,1087.0
sad,0.6809651474530831,0.7993705743509048,0.7354325009048136,1271.0
accuracy,0.6421660843859177,0.6421660843859177,0.6421660843859177,0.6421660843859177
macro avg,0.7144390345920871,0.6368380722416002,0.6282446690274868,7442.0
weighted avg,0.7102425180209619,0.6421660843859177,0.6296670260679096,7442.0
